"a_in","a_out","b_in","b_out","num_common_outbound_neighbours","num_common_inbound_neighbours","num_common_a_out_b_in_neighbours","b_to_a_exists","mutual_following_a"
60,318,106,0,0,2,2,0,27
568,9552,9,0,0,4,4,0,552
26,562,46,0,0,5,8,0,23
1,0,182,0,0,1,0,0,0
31,11,1,0,0,0,0,0,0
2,3,1,0,0,0,0,0,2
16,3,84,400,1,5,1,1,2
252,3685,4,0,0,3,3,0,248
5,33,2,0,0,0,0,0,5
22,178,14,0,0,1,1,0,12
35,0,3,0,0,1,0,0,0
1,0,2,0,0,0,0,0,0
55,249,32,0,0,4,4,0,50
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
3,27,2,0,0,1,0,0,1
2,0,4,0,0,2,0,0,0
1,0,1,0,0,0,0,0,0
106,346,99,0,0,19,19,0,95
2,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
58,133,2,0,0,0,0,0,34
31,226,4,0,0,1,1,0,31
92,39,1,0,0,0,0,0,0
18,117,5,0,0,1,1,0,15
1,0,1,0,0,0,0,0,0
19,203,37,0,0,5,3,0,14
40,66,1,0,0,0,0,0,39
6,0,14,0,0,0,0,0,0
5,13,236,197,8,5,11,0,5
225,623,44,0,0,7,8,0,97
5,0,1,0,0,0,0,0,0
88,505,73,176,13,9,12,0,56
3,86,1,0,0,0,0,0,1
378,2133,54,0,0,6,7,0,336
193,5573,89,0,0,46,46,0,167
6,27,16,0,0,1,1,0,3
5,0,1,0,0,0,0,0,0
102,1348,11,0,0,1,1,0,70
79,105,2,0,0,0,0,0,10
7,47,18,0,0,1,0,0,3
12,44,1,0,0,0,0,0,6
69,430,45,0,0,3,3,0,53
39,19,11,0,0,0,0,0,12
1,0,1,0,0,0,0,0,0
4,5,250,206,3,2,3,1,3
9,131,1,0,0,0,0,0,8
3,0,1,0,0,0,0,0,0
45,25,5,0,0,1,1,0,15
2,0,48,0,0,1,0,0,0
19,52,1841,15,1,2,5,0,13
5,88,28,0,0,0,0,0,1
59,300,378,426,18,17,20,0,42
21,300,12,0,0,0,0,0,16
5,19,1,0,0,0,0,0,4
14,716,9,0,0,0,1,0,3
4,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
193,1999,2,0,0,0,0,0,167
4,0,1,0,0,0,0,0,0
3,45,107,0,0,0,0,0,1
260,861,18,0,0,8,7,0,208
53,1100,14,0,0,0,0,0,52
1,0,1,0,0,0,0,0,0
27,582,2,0,0,1,0,0,20
2,7,1,0,0,0,0,0,1
44,382,3,0,0,0,0,0,38
3,81,8,0,0,0,0,0,2
28,408,315,257,46,2,49,0,17
1,0,30,0,0,0,0,0,0
195,11502,1,0,0,0,0,0,152
1,0,1,0,0,0,0,0,0
3,10,3,0,0,0,0,0,3
8,68,73,0,0,2,2,0,6
36,2,525,49,0,18,0,0,0
4,59,4,0,0,0,0,0,2
1,0,22,0,0,0,0,0,0
4,107,3,0,0,0,0,0,4
9,0,4,0,0,0,0,0,0
68,156,1,0,0,0,0,0,28
6,0,1,0,0,0,0,0,0
216,2518,2,0,0,1,1,0,214
294,1000,328,0,0,15,10,0,215
13,40,107,0,0,3,0,0,1
2,56,3,0,0,0,1,0,2
76,222,1,0,0,0,0,0,40
4,0,2,0,0,0,0,0,0
208,642,1,0,0,0,0,0,187
1,0,1,0,0,0,0,0,0
13,0,14,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
140,73,930,967,19,105,12,1,14
69,217,2,0,0,0,1,0,25
13,0,1,0,0,0,0,0,0
2,15,2,0,0,0,0,0,0
9,0,11,0,0,0,0,0,0
20,67,3,0,0,0,0,0,7
16,147,26,0,0,3,2,0,8
3,0,10,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
18,25,1,0,0,0,0,0,12
11,30,1,0,0,0,0,0,8
50,22,1,0,0,0,0,0,2
316,14,1117,124,3,170,1,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
72,368,1,0,0,0,0,0,29
206,293,4,0,0,0,0,0,87
7,4,1,0,0,0,0,0,1
9,146,26,0,0,2,1,0,5
4,40,3,0,0,1,1,0,4
1,0,1,0,0,0,0,0,0
78,218,1,0,0,0,0,0,54
7,69,1,0,0,0,0,0,3
30,188,1,0,0,0,0,0,20
2,8,1,0,0,0,0,0,2
64,163,427,0,0,6,4,0,13
6,22,101,306,8,5,5,1,6
27,49,39,9,3,10,8,0,16
64,323,32,0,0,21,28,0,64
83,79,471,2170,38,44,22,1,29
5,0,1,0,0,0,0,0,0
21,246,1,0,0,0,0,0,8
38,67,3,0,0,0,0,0,33
6,24,1,0,0,0,0,0,5
5,0,2,0,0,0,0,0,0
2,0,4,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0
79,103,137,0,0,2,1,0,14
1,0,1,0,0,0,0,0,0
1,42,1,0,0,0,0,0,1
4,48,7,0,0,0,1,0,3
19,128,3654,18,0,5,3,0,15
1,0,1,0,0,0,0,0,0
13,77,5,0,0,0,0,0,5
14,161,1,0,0,0,0,0,11
39,15,199,148,11,28,10,1,12
1,0,1,0,0,0,0,0,0
22,283,43,0,0,6,6,0,19
15,0,2,0,0,0,0,0,0
18,66,3,0,0,0,0,0,12
1,0,1,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
11,88,55,0,0,0,0,0,10
11,115,42,0,0,0,2,0,8
21,187,83,0,0,0,0,0,12
11,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
177,880,31,0,0,6,6,0,171
59,140,5,0,0,0,0,0,47
205,1109,12,0,0,0,0,0,190
27,181,1,0,0,0,0,0,19
3,0,2,0,0,0,0,0,0
1,0,5,0,0,0,0,0,0
26,1455,66,0,0,1,4,0,22
6,27,13,0,0,1,1,0,3
4,2,147,14,1,3,1,0,1
1,0,1,0,0,0,0,0,0
12,1,401,131,0,9,0,1,1
7,181,8,0,0,1,1,0,5
11,33,78,255,5,2,3,1,4
86,466,70,0,0,5,5,0,84
147,925,1,0,0,0,0,0,89
14,165,2,0,0,0,0,0,11
64,641,1,0,0,0,0,0,54
30,58,30,0,0,0,0,0,12
234,2526,73,0,0,11,15,0,220
51,199,1,0,0,0,0,0,40
19,38,24,61,26,16,18,1,17
7,0,1,0,0,0,0,0,0
19,173,39,0,0,0,0,0,12
4,0,1,0,0,0,0,0,0
2,7,1,0,0,0,0,0,1
54,591,1,0,0,0,0,0,42
66,233,35,88,16,15,17,0,62
16,29,2,0,0,0,0,0,7
15,45,1,0,0,0,0,0,3
21,70,100,0,0,4,5,0,14
1,0,2,0,0,0,0,0,0
33,44,7,0,0,6,4,0,17
39,78,188,2115,58,33,24,1,30
147,434,2,0,0,0,0,0,79
2,0,1,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0
44,62,18,0,0,5,1,0,6
1,0,1,0,0,0,0,0,0
13,102,2,0,0,0,0,0,5
27,0,1,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
3,9,1,0,0,0,0,0,1
1,0,2,0,0,1,0,0,0
1,0,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
45,41,48,0,0,3,1,0,5
52,114,551,1317,27,26,21,0,29
1,0,2,0,0,0,0,0,0
3,0,3,0,0,0,0,0,0
2,479,1,0,0,0,0,0,2
79,203,103,0,0,10,7,0,43
30,155,116,249,9,8,7,1,18
21,89,4,0,0,2,2,0,11
1,0,1,0,0,0,0,0,0
11,49,62,110,12,4,7,1,10
11,39,2098,100,0,1,1,0,7
37,138,56,0,0,19,17,0,17
41,290,106,0,0,0,2,0,35
12,88,92,486,14,5,4,1,7
10,99,135,9,0,0,0,0,9
44,176,85,268,4,6,1,1,15
6,48,40,0,0,0,0,0,4
51,633,1,0,0,0,0,0,28
2,0,2,0,0,0,0,0,0
18,148,1,0,0,0,0,0,11
69,151,12,0,0,1,1,0,44
24,107,1,0,0,0,0,0,20
30,2133,3,0,0,0,0,0,24
13,43,27,0,0,8,9,0,11
22,0,1,0,0,1,0,0,0
18,66,1,0,0,1,0,0,12
1,0,1,0,0,0,0,0,0
1,1,468,229,0,0,0,1,1
360,3399,5,0,0,1,0,0,336
36,69,3,0,0,0,0,0,25
49,364,16,0,0,0,0,0,39
4,0,1,0,0,0,0,0,0
29,243,3,0,0,0,0,0,23
40,289,104,0,0,4,2,0,11
4,0,1,0,0,0,0,0,0
6,0,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
3,8,1,0,0,0,0,0,1
37,20,12,44,9,9,6,1,16
25,394,115,0,0,4,11,0,21
2,0,4,0,0,0,0,0,0
62,148,1,0,0,0,0,0,29
1,15,3035,3,0,0,0,0,1
6,0,2,1,0,0,0,0,0
40,43,49,73,16,12,11,1,32
669,109,3,0,0,0,0,0,17
119,4195,76,0,0,61,56,0,103
46,474,1,0,0,0,0,0,45
177,1154,1,0,0,0,0,0,46
272,327,60,0,0,16,2,0,73
1,0,8,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
102,312,12,0,0,2,1,0,48
137,343,10,0,0,2,1,0,46
16,99,37,0,0,0,0,0,9
92,1299,116,0,0,9,10,0,80
13,126,3,0,0,0,0,0,10
12,273,513,0,0,1,1,0,7
49,350,1,0,0,0,0,0,42
4,26,12,0,0,3,3,0,3
53,1112,1,0,0,0,0,0,50
8,10,25,33,3,3,3,1,8
97,450,30,0,0,2,0,0,40
4,163,1,0,0,0,0,0,3
45,158,2,0,0,0,0,0,37
96,121,29,0,0,1,0,0,35
22,161,421,1380,25,5,12,0,20
60,1267,2,0,0,1,1,0,43
1,0,3,0,0,0,0,0,0
5,0,4,0,0,1,0,0,0
15,88,4,0,0,0,0,0,6
1,0,1,0,0,0,0,0,0
50,257,11,0,0,3,3,0,35
33,41,1,0,0,0,0,0,10
2,27,6,0,0,0,0,0,2
120,138,17,0,0,16,16,0,17
336,9128,85,0,0,35,35,0,333
86,2041,1,0,0,0,0,0,79
57,236,1,0,0,0,0,0,22
60,56,4637,85916,15,30,8,0,14
1,0,3,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,25,0,0,0,0,0,0
23,38,1,0,0,0,0,0,0
15,305,1,0,0,0,0,0,9
765,0,116,0,0,71,0,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0
23,267,3,0,0,1,0,0,7
104,308,2,0,0,1,1,0,76
709,137,469,0,0,70,13,0,26
155,5850,266,0,0,79,83,0,145
14,61,8,91,6,2,3,1,14
78,337,4,0,0,1,1,0,46
70,277,1,0,0,0,0,0,49
42,144,29,0,0,5,6,0,30
17,45,17,59,20,13,13,1,17
27,90,2,0,0,0,0,0,14
5,0,1,0,0,0,0,0,0
319,5046,3,0,0,0,0,0,308
11,6,49,126,3,8,3,1,4
1,0,1,0,0,0,0,0,0
10,37,2,0,0,0,0,0,5
20,226,3,0,0,0,0,0,17
72,826,1,0,0,0,0,0,63
422,4312,1,0,0,0,0,0,377
3,65,1215,3,0,0,0,0,2
47,2747,3,0,0,0,0,0,40
3,0,18,0,0,0,0,0,0
1,27,1,0,0,0,0,0,0
2,15,1,0,0,0,0,0,2
206,293,1,0,0,0,0,0,87
13,58,1820,21104,24,11,17,1,8
45,446,27,0,0,0,0,0,26
1,0,1,0,0,0,0,0,0
7,56,43,249,8,5,6,1,6
21,151,2914,54,0,6,8,0,11
2,0,16,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0
81,99,8,0,0,1,0,0,13
1,0,2,0,0,0,0,0,0
426,10168,30,0,0,6,6,0,417
2,0,1,0,0,0,0,0,0
21,247,33,0,0,0,0,0,19
10,208,9,0,0,0,0,0,8
1,0,2,0,0,0,0,0,0
11,80,94,0,0,0,2,0,11
44,97,1,0,0,0,0,0,31
182,1183,543,0,0,32,31,0,178
98,131,2,0,0,0,0,0,44
168,729,9,0,0,2,2,0,98
412,18490,1,0,0,0,0,0,328
28,308,1,0,0,0,0,0,17
26,18,34,0,0,5,2,0,2
19,20,23,0,0,11,6,0,8
25,64,444,0,0,10,11,0,10
47,1105,36,0,0,20,17,0,40
1,0,3,0,0,0,0,0,0
31,128,12,159,33,5,3,1,15
57,410,2,0,0,0,0,0,30
8,112,33,0,0,1,1,0,6
154,527,38,236,17,11,9,1,106
3,302,780,268,14,0,9,0,2
160,909,5,0,0,0,0,0,49
8,165,1,0,0,0,0,0,8
1,0,1,0,0,0,0,0,0
66,968,1,0,0,0,0,0,59
62,1527,1,0,0,0,0,0,60
1,0,2,0,0,0,0,0,0
148,731,1,0,0,1,1,0,122
20,152,4,0,0,0,1,0,10
33,546,1,0,0,0,0,0,26
185,2750,4,0,0,1,1,0,129
20,116,63,151,2,0,0,1,10
29,235,57,0,0,0,0,0,22
1,0,1,0,0,0,0,0,0
161,1900,1,0,0,1,1,0,146
2,167,89,257,36,1,17,0,2
4,8,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
50,397,94,0,0,16,16,0,50
1,0,1,0,0,0,0,0,0
65,348,1,0,0,0,0,0,53
2,3,6,0,0,0,0,0,0
9,172,2,0,0,0,0,0,6
9,180,2,0,0,0,0,0,8
179,191,3,0,0,1,1,0,54
18,88,68,0,0,1,1,0,8
19,172,1,0,0,0,0,0,9
118,103,1,0,0,0,0,0,8
4,49,2,0,0,0,0,0,3
1,0,2,0,0,0,0,0,0
72,572,137,0,0,15,14,0,71
13,178,3,0,0,0,1,0,10
1,16,4,0,0,0,0,0,1
42,94,87,101,30,28,32,0,39
46,298,438,122,22,8,11,0,35
312,12601,1,0,0,0,0,0,306
17,81,1,0,0,0,0,0,6
1,16,9,0,0,0,0,0,0
31,241,43,272,52,10,4,1,13
2,0,1,0,0,0,0,0,0
1,0,422,0,0,1,0,0,0
88,1985,2,0,0,0,0,0,77
1,0,1,0,0,0,0,0,0
5,8,1350,61238,2,2,3,1,5
2,0,4,0,0,0,0,0,0
113,607,1,0,0,0,0,0,66
41,145,1,0,0,0,0,0,16
58,449,138,175,19,3,10,0,42
19,75,1643,54,1,1,7,0,5
3,23,28,0,0,1,0,0,2
1,0,6,0,0,0,0,0,0
32,119,1,0,0,0,0,0,16
109,38,2,0,0,0,0,0,24
13,10,788,589,0,0,0,0,2
87,591,1,0,0,0,0,0,69
1,0,3,0,0,0,0,0,0
584,184,1,0,0,0,0,0,54
40,106,1,0,0,0,0,0,23
1,0,5,0,0,0,0,0,0
39,1,366,1051,0,26,0,1,1
26,117,23,0,0,0,3,0,15
1,0,12,0,0,0,0,0,0
20,85,2,0,0,0,0,0,9
31,90,122,511,28,9,12,1,20
6,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0
53,90,1,0,0,0,0,0,14
3,0,5,0,0,0,0,0,0
10,88,39,0,0,2,1,0,4
6,110,31,0,0,0,1,0,2
255,0,1,0,0,1,0,0,0
5,0,3,0,0,2,0,0,0
2,0,3,0,0,0,0,0,0
429,37747,6,0,0,2,2,0,360
31,1079,1,0,0,0,0,0,28
190,0,1,0,0,0,0,0,0
42,663,3,0,0,1,1,0,40
66,295,1,0,0,0,0,0,19
18,160,50,0,0,1,1,0,18
2,0,1,0,0,0,0,0,0
47,390,2152,60088,121,19,22,1,37
4,88,1,0,0,0,0,0,4
27,104,3,0,0,1,1,0,11
181,4505,2,0,0,0,0,0,157
6,17,8,0,0,1,1,0,4
14,3,2,0,0,1,0,0,1
1196,77360,78,0,0,73,73,0,1176
63,744,537,1710,34,14,23,0,42
99,1787,24,0,0,1,0,0,76
31,92,103,2173,43,18,17,1,27
182,8739,3,0,0,0,0,0,160
57,237,873,107917,12,7,4,1,35
10,26,2,0,0,0,0,0,1
7,0,12,0,0,0,0,0,0
54,465,2,0,0,1,1,0,43
19,28,27,40,14,15,14,1,13
458,145,2,0,0,0,0,0,84
21,13,18,0,0,2,1,0,8
1,0,4,0,0,0,0,0,0
1107,62807,500,0,0,369,369,0,1084
2,45,574,0,0,0,0,0,2
6,56,1,0,0,0,0,0,6
6,43,53,22,4,3,7,0,6
3,0,1,0,0,0,0,0,0
4,39,36,0,0,0,0,0,4
4,0,1,0,0,0,0,0,0
77,1412,15,0,0,5,5,0,70
55,364,46,0,0,1,1,0,46
2,0,1,0,0,0,0,0,0
248,972,52,0,0,3,4,0,100
217,328,521,201,32,88,48,0,65
2,57,1648,329,3,0,2,0,2
1,0,1,0,0,0,0,0,0
11,16,1,0,0,0,0,0,5
166,776,11,0,0,0,0,0,136
8,62,48,101,5,1,1,1,8
180,445,202,0,0,23,16,0,86
1,0,1,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
37,293,555,129,7,16,24,0,28
3,0,3,0,0,0,0,0,0
73,344,21,22,2,1,2,0,54
26,243,1,0,0,0,0,0,26
1,0,3,0,0,0,0,0,0
480,553,432,713,70,116,48,1,152
3,0,20,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
1,20,1,0,0,0,0,0,1
32,305,1,0,0,0,0,0,24
38,20,429,0,0,6,1,0,4
62,1009,101,0,0,11,11,0,60
204,619,1,0,0,0,0,0,191
1,0,3,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
21,161,3,0,0,0,0,0,14
8,12,3,0,0,0,0,0,8
45,25,8,0,0,1,0,0,15
69,132,36,81,32,20,21,1,45
47,260,2,0,0,0,0,0,34
138,175,168,161,28,71,24,1,42
324,848,102,341,169,64,59,1,273
1,0,3,0,0,0,0,0,0
119,538,50,0,0,13,18,0,112
1,0,1,0,0,0,0,0,0
1,46,1,0,0,0,0,0,0
12,40,2,0,0,0,0,0,12
101,778,373,2746,106,48,51,1,83
147,715,6,0,0,2,0,0,60
1,0,1,0,0,0,0,0,0
28,63,2,0,0,1,0,0,9
1681,25550,6,0,0,1,1,0,1569
1,0,2,0,0,0,0,0,0
88,505,31,0,0,5,8,0,56
27,99,1,0,0,0,0,0,23
99,31,1,0,0,0,0,0,11
1,0,1,0,0,0,0,0,0
4,42,1,0,0,1,1,0,4
23,42,2,0,0,0,0,0,5
140,6745,22,0,0,4,3,0,125
92,115,1,0,0,0,0,0,38
4,44,1,0,0,0,0,0,4
29,178,239,259,4,2,5,0,25
26,88,4,0,0,0,0,0,18
1,0,1,0,0,0,0,0,0
74,313,17,0,0,0,2,0,44
1,23,6,0,0,0,0,0,1
6,35,4,0,0,0,0,0,5
19,387,1253,539,1,1,8,0,14
4,0,1,0,0,0,0,0,0
231,80,1,0,0,0,0,0,22
42,446,1,0,0,0,0,0,11
7,11,54,0,0,1,1,0,2
48,74,153,344,24,24,23,1,30
12,89,3,0,0,1,0,0,8
2,0,2,0,0,0,0,0,0
37,558,2,0,0,1,0,0,24
48,232,1,0,0,0,0,0,42
3,0,1,0,0,0,0,0,0
66,119,13,0,0,9,8,0,44
1605,39,194,669,14,163,15,1,32
81,1096,192,0,0,11,10,0,65
1,0,1,0,0,0,0,0,0
4,25,13,0,0,1,1,0,2
1,0,2,0,0,0,0,0,0
149,389,352,2435,14,22,6,1,58
17,0,1,0,0,1,0,0,0
18,112,1,0,0,0,0,0,10
102,312,1,0,0,0,0,0,48
81,1365,15,0,0,4,6,0,76
36,189,76,0,0,3,7,0,35
11,232,18,0,0,0,0,0,9
26,69,1,0,0,0,0,0,21
5,0,1,0,0,0,0,0,0
62,310,35,0,0,6,3,0,34
337,3453,1,0,0,0,0,0,337
3,5,4,3,1,2,2,0,2
323,109,840,336,7,127,25,0,36
6,0,2,0,0,0,0,0,0
53,525,2,0,0,1,1,0,53
43,0,4,0,0,0,0,0,0
260,15276,24,0,0,7,7,0,256
66,228,4,0,0,0,0,0,26
1,0,19,0,0,0,0,0,0
1,42,1,0,0,0,0,0,1
1,0,42,0,0,0,0,0,0
574,6135,59,0,0,30,32,0,496
8,21,5,0,0,1,1,0,6
217,176,1,0,0,0,0,0,19
17,141,28,0,0,3,2,0,6
11,179,7,0,0,3,3,0,11
45,80,1,0,0,0,0,0,26
85,2000,4,0,0,0,0,0,78
7,29,6,0,0,0,0,0,5
2,1,7,0,0,0,0,0,1
4,10,43,0,0,1,3,0,4
253,204,335,0,0,94,8,0,4
16,20,1,0,0,0,0,0,1
1,36,2,0,0,0,0,0,1
154,717,49,0,0,17,5,0,19
2,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
58,422,381,0,0,3,4,0,49
86,111,73,234,22,14,10,1,27
1,14,25,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
183,453,2,0,0,0,0,0,34
11,59,84,6,0,3,2,0,7
10,25,3,0,0,0,0,0,10
90,326,5,0,0,1,1,0,82
1,18,1,0,0,0,0,0,1
29,93,5,0,0,4,4,0,26
13,133,1,0,0,0,0,0,10
14,98,6,18,1,0,0,1,11
36,131,2,0,0,1,1,0,6
17,142,44,0,0,0,0,0,5
203,9761,11,0,0,3,3,0,197
141,977,1,0,0,1,0,0,96
1,0,1,0,0,0,0,0,0
54,341,71,0,0,1,1,0,35
2,0,1,0,0,0,0,0,0
12,31,2,0,0,0,0,0,3
3,0,5,0,0,0,0,0,0
33,877,313,0,0,7,7,0,30
32,57,2,0,0,0,0,0,4
2,408,3,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
56,253,6,0,0,1,0,0,35
6,19,171,0,0,0,0,0,2
13,58,522,81,1,2,1,0,7
83,269,505,0,0,16,18,0,71
14,190,1,0,0,0,0,0,11
1,0,1,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
1,0,11,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
74,305,1,0,0,0,0,0,66
18,176,3,0,0,1,1,0,13
18,48,5,0,0,4,4,0,10
2,0,1,0,0,0,0,0,0
7,36,13,0,0,0,0,0,4
1,0,2,0,0,0,0,0,0
5,13,2,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0
2,62,414,210,26,0,14,0,0
2,0,1,0,0,0,0,0,0
41,51,1,0,0,0,0,0,14
16,193,46,0,0,0,0,0,6
11,24,1,0,0,0,0,0,7
1,0,2,0,0,0,0,0,0
59,9303,15,0,0,1,0,0,34
1,0,1,0,0,0,0,0,0
2,21,421,0,0,0,4,0,0
2,0,3,0,0,0,0,0,0
169,307,152,6,2,20,11,0,49
1,0,1,0,0,0,0,0,0
29,149,1,0,0,0,0,0,8
250,915,89,0,0,52,41,0,167
59,283,1,0,0,0,1,0,15
2,0,1,0,0,0,0,0,0
36,566,70,0,0,2,2,0,30
89,367,1,0,0,0,0,0,87
97,448,33,0,0,5,4,0,24
10,4,75,182,3,4,1,1,2
